study,variable_id,outcome_type,denominator,derivation,source_questions,notes
rct,pi_medicine_w2,practice,all respondents with a complete survey and a living new child reported at wave 2 or living youngest child reported at wave 2 baseline if dob<2015-09-01,"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father gave child medicine",f7700f,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pi_medicine_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father gave child medicine",f7700f,
rct,pi_play_w1,practice,all respondents with a complete survey and a child <=5 years old at wave 1,"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father played with child",f7700d,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pi_play_w2,practice,all respondents with a complete survey and a living new child reported at wave 2 or living youngest child reported at wave 2 baseline if dob<2015-09-01,"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father played with child",f7700d,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pi_play_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father played with child",f7700d,
rct,pi_sleep_w1,practice,all respondents with a complete survey and a child <=5 years old at wave 1,"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father put child to sleep",f7700g,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pi_sleep_w2,practice,all respondents with a complete survey and a living new child reported at wave 2 or living youngest child reported at wave 2 baseline if dob<2015-09-01,"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father put child to sleep",f7700g,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pi_sleep_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don't know if father participated in activity, 1=father did not participate in activity, 2=father put child to sleep",f7700g,
rct,pnc_ds_appetite_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Poor appetite",i2000e,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_appetite_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Poor appetite",i2000e,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_appetite_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Poor appetite",i2000e,
rct,pnc_ds_breathing_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Difficulty breathing",i2000d,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_breathing_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Difficulty breathing",i2000d,MIRRORED from pnc_ds_breathing_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,pnc_ds_breathing_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Difficulty breathing",i2000d,
rct,pnc_ds_care_pi_w1,practice,all respondents with a complete survey and a new child <=5 years old reported at wave 1 and sought care for a postnatal problem,"999=refused, 0=had postnatal problem, sought care, don't know if father accompanied, 1=had postnatal problem, sought care, father did not accompany, 2=had postnatal problem, sought care, father accompanied",f5400,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_care_pi_w2,practice,all respondents with a complete survey and a new child reported at wave 2 or youngest child reported at wave 2 baseline if dob<2015-09- 01and sought care for a post antal problem,"999=refused, 0=had postnatal problem, sought care, don't know if father accompanied, 1=had postnatal problem, sought care, father did not accompany, 2=had postnatal problem, sought care, father accompanied",f5400,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_care_pi_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention) and sought care for a postnatal problem,"999=refused, 0=had postnatal problem, sought care, don't know if father accompanied, 1=had postnatal problem, sought care, father did not accompany, 2=had postnatal problem, sought care, father accompanied",f5400,
rct,pnc_ds_cold_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Cold",i2000j,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_cold_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Cold",i2000j,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_cold_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Cold",i2000j,
rct,pnc_ds_cold_skin_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Skin that was cold to the touch",i2000h,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_cold_skin_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Skin that was cold to the touch",i2000h,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_cold_skin_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Skin that was cold to the touch",i2000h,
rct,pnc_ds_colic_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Pain/colic",i2000k,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_colic_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Pain/colic",i2000k,MIRRORED from pnc_ds_colic_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,pnc_ds_colic_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Pain/colic",i2000k,
rct,pnc_ds_cough_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Cough",i2000i,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_cough_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Cough",i2000i,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_cough_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Cough",i2000i,
rct,pnc_ds_diarrhea_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Diarrhea",i2000b,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_diarrhea_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Diarrhea",i2000b,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_diarrhea_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Diarrhea",i2000b,
rct,pnc_ds_fever_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Fever",i2000a,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_fever_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Fever",i2000a,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_fever_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Fever",i2000a,
rct,pnc_ds_latch_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Problems latching/sucking breast",i2000l,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_latch_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Problems latching/sucking breast",i2000l,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_latch_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Problems latching/sucking breast",i2000l,
rct,pnc_ds_pneumonia_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Pneumonia",i2000m,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_pneumonia_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Pneumonia",I2000m,
rct,pnc_ds_pus_cord_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Pus in the umbilical cord",i2000g,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_pus_cord_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Pus in the umbilical cord",i2000g,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_pus_cord_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Pus in the umbilical cord",i2000g,
rct,pnc_ds_red_cord_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Redness or bleeding around cord",i2000f,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_red_cord_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Redness or bleeding around cord",i2000f,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_red_cord_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Redness or bleeding around cord",i2000f,
rct,pnc_ds_vomit_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Vomiting",i2000c,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_vomit_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Vomiting",i2000c,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,pnc_ds_vomit_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postnatal danger sign, 2=respondent named postnatal danger sign - Vomiting",i2000c,
rct,postnc_3d_w1,practice,all respondents with a complete survey and a new child <=5 years old reported at wave 1,"999=refused whether had health checked, when or by whom, 0=don't know if had health checked, when or by whom, 1=did not have health checked by health professional within 3 days, 2=had health checked within 3 days by medical professional","f4400, f4500, f4600",AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,postnc_3d_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused whether had health checked, when or by whom, 0=don't know if had health checked, when or by whom, 1=did not have health checked by health professional within 3 days, 2=had health checked within 3 days by medical professional","f4400, f4500, f4600",
rct,postnc_3d_w4,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused whether had health checked, when or by whom, 0=don't know if had health checked, when or by whom, 1=did not have health checked by health professional within 3 days, 2=had health checked within 3 days by medical professional","f4400, f4500, f4600",MIRRORED from postnc_3d_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,postnc_ds_care_w1,practice,all respondents with a complete survey and a new child <=5 years old reported at wave 1 who experienced a postnatal care danger sign,"999=refused, 0= don't know if had danger signs or whether sought care, 1= experienced danger signs and did not seek care, 2=experienced danger signs and sought care","f5200, f5300",AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,postnc_ds_care_w2,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention) who experienced a postnatal care danger sign,"999=refused, 0= don't know if had danger signs or whether sought care, 1= experienced danger signs and did not seek care, 2=experienced danger signs and sought care","f5200, f5300",MIRRORED from postnc_ds_care_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,postnc_ds_care_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention) who experienced a postnatal care danger sign,"999=refused, 0= don't know if had danger signs or whether sought care, 1= experienced danger signs and did not seek care, 2=experienced danger signs and sought care","f5200, f5300",
rct,postnc_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent provided potentially harmful answers regarding proper newborn care, 2=respondent only provided correct answers regarding proper newborn care",i1900,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,postnc_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent provided potentially harmful answers regarding proper newborn care, 2=respondent only provided correct answers regarding proper newborn care",i1900,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,postnc_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent provided potentially harmful answers regarding proper newborn care, 2=respondent only provided correct answers regarding proper newborn care",i1900,
rct,postnc_pi_care_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=fathers should not help care for their sick children, 2=fathers should help care for their sick children",i3400,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,postnc_pi_care_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=fathers should not help care for their sick children, 2=fathers should help care for their sick children",i3400,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,postnc_pi_care_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=fathers should not help care for their sick children, 2=fathers should help care for their sick children",i3400,
rct,postnc_pi_care_ka_w4,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=fathers should not help care for their sick children, 2=fathers should help care for their sick children",i3400,MIRRORED from postnc_pi_care_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,postnc_w1,practice,all respondents with a complete survey and a new child <=5 years old reported at wave 1,"999=refused whether had health checked, when or by whom, 0=don't know if had health checked, when or by whom, 1=did not have health checked by health professional within 7 days, 2=had health checked within 7 days by medical professional","f4400, f4500, f4600",AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,postnc_w2,practice,all respondents with a complete survey and a new child reported at wave 2 or youngest child reported at wave 2 baseline if dob<2015-09- 01,"999=refused whether had health checked, when or by whom, 0=don't know if had health checked, when or by whom, 1=did not have health checked by health professional within 7 days, 2=had health checked within 7 days by medical professional","f4400, f5400, f5600",AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,postnc_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused whether had health checked, when or by whom, 0=don't know if had health checked, when or by whom, 1=did not have health checked by health professional within 7 days, 2=had health checked within 7 days by medical professional","f4400, f4500, f4600",
rct,postnc_w4,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused whether had health checked, when or by whom, 0=don't know if had health checked, when or by whom, 1=did not have health checked by health professional within 7 days, 2=had health checked within 7 days by medical professional","f4400, f4500, f4600",MIRRORED from postnc_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,ppc_3d_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=incorrect answer given, 2=once a woman is home after childbirth, she should have her health checked within 3 days",i1700,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,ppc_3d_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=incorrect answer given, 2=once a woman is home after childbirth, she should have her health checked within 3 days",i1700,
rct,ppc_3d_w1,practice,all respondents with a complete survey and a new child <=5 years old reported at wave 1,"999=refused whether had health checked, when or by whom, 0=don't know if had health checked, when or by whom, 1=did not have health checked by health professional within 3 days, 2=had health checked within 3 days by medical professional","f3600, f3700, f3800",AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,ppc_3d_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused whether had health checked, when or by whom, 0=don't know if had health checked, when or by whom, 1=did not have health checked by health professional within 3 days, 2=had health checked within 3 days by medical professional","f3600, f3700, f3800",
rct,ppc_3d_w4,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused whether had health checked, when or by whom, 0=don't know if had health checked, when or by whom, 1=did not have health checked by health professional within 3 days, 2=had health checked within 3 days by medical professional","f3600, f3700, f3800",MIRRORED from ppc_3d_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,ppc_7d_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=incorrect answer given, 2=once a woman is home after childbirth, she should have her health checked within 7 days",i1700,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,ppc_7d_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=incorrect answer given, 2=once a woman is home after childbirth, she should have her health checked within 7 days",i1700,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,ppc_7d_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=incorrect answer given, 2=once a woman is home after childbirth, she should have her health checked within 7 days",i1700,
rct,ppc_ds_abdomen_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Abdominal tenderness (painful or hard abdomen)",i1800l,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,ppc_ds_abdomen_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Abdominal tenderness (painful or hard abdomen)",i1800l,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,ppc_ds_abdomen_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Abdominal tenderness (painful or hard abdomen)",i1800l,
rct,ppc_ds_anemia_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Anemia",i1800q,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,ppc_ds_anemia_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Anemia",i1800q,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,ppc_ds_anemia_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Anemia",i1800q,
rct,ppc_ds_bleeding_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Heavy vaginal bleeding",i1800a,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,ppc_ds_bleeding_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Heavy vaginal bleeding",i1800a,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,ppc_ds_bleeding_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Heavy vaginal bleeding",i1800a,
rct,ppc_ds_breast_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Breast pain or tenderness",i1800m,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,ppc_ds_breast_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Breast pain or tenderness",i1800m,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,ppc_ds_breast_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Breast pain or tenderness",i1800m,
rct,ppc_ds_breast_red_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Red painful area or lump in breast",i1800h,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,ppc_ds_breast_red_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Red painful area or lump in breast",i1800h,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,ppc_ds_breast_red_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Red painful area or lump in breast",i1800h,
rct,ppc_ds_care_pi_w1,practice,all respondents with a complete survey and a new child <=5 years old reported at wave 1 and sought care for postpartum problem,"999=refused, 0=had postpartum problems, sought care, don't know if father accompanied, 1=had postpartum problems, sought care, father did not accompany, 2=had postpartum problems, sought care, father accompanied",f4100,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,ppc_ds_care_pi_w2,practice,all respondents with a complete survey and a new child reported at wave 2 or youngest child reported at wave 2 baseline if dob<2015-09- 01 and sought care for postpartum problem,"999=refused, 0=had postpartum problems, sought care, don't know if father accompanied, 1=had postpartum problems, sought care, father did not accompany, 2=had postpartum problems, sought care, father accompanied",f4100,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,ppc_ds_care_pi_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention) and sought care for postpartum problem,"999=refused, 0=had postpartum problems, sought care, don't know if father accompanied, 1=had postpartum problems, sought care, father did not accompany, 2=had postpartum problems, sought care, father accompanied",f4100,
rct,ppc_ds_care_w1,practice,all respondents with a complete survey and a new child <=5 years old reported at wave 1 who experienced a postpartum care danger sign,"999=refused, 0= don't know if had danger signs or whether sought care, 1= experienced danger signs and did not seek care, 2=experienced danger signs and sought care","f3900, f4000",AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,ppc_ds_care_w2,practice,all respondents with a complete survey and a new child reported at wave 2 or youngest child reported at wave 2 baseline if dob<2015-09- 01,"999=refused, 0= don't know if had danger signs or whether sought care, 1=no danger signs or experienced danger signs and did not seek care, 2=experienced danger signs and sought care","f3900, f4000",AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,ppc_ds_care_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention) who experienced a postpartum care danger sign,"999=refused, 0= don't know if had danger signs or whether sought care, 1= experienced danger signs and did not seek care, 2=experienced danger signs and sought care","f3900, f4000",
rct,ppc_ds_care_w4,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention) who experienced a postpartum care danger sign,"999=refused, 0= don't know if had danger signs or whether sought care, 1= experienced danger signs and did not seek care, 2=experienced danger signs and sought care","f3900, f4000",MIRRORED from ppc_ds_care_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,ppc_ds_convulsion_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Convulsions or Fits",i1800g,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,ppc_ds_convulsion_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Convulsions or Fits",i1800g,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,ppc_ds_convulsion_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Convulsions or Fits",i1800g,
rct,ppc_ds_discharge_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Vaginal discharge / pus / foul smelling vaginal discharge",i1800d,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,ppc_ds_discharge_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=respondent did not name postpartum danger sign, 2=respondent named postpartum danger sign - Vaginal discharge / pus / foul smelling vaginal discharge",i1800d,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
