header,question_type,question_english,question_spanish,option_code,option_english,option_spanish,question_order
mb_d0400,integer,ENTER PARTICIPANT'S DIASTOLIC BLOOD PRESSURE AND WRITE IT ON THE PARTICIPANT'S INFO SHEET,INGRESE LA PRESIÓN DIASTÓLICA DEL PARTICIPANTE Y ESCRÍBALA EN LA HOJA DEL PARTICIPANTE.,NA,NA,NA,10
mb_d0005,integer,ENTER THE HEART RATE REGISTERED BY THE BP MACHINE AND WRITE IT IN THE PARTICIPANT INFORMATION SHEET,INGRESE EL PULSO REGISTRADO POR LA MAQUINA DE PRESION ARTERIAL Y ESCRIBALA EN LA HOJA DEL PARTICIPANTE,NA,NA,NA,11
mb_d0600,decimal,ENTER PARTICIPANT'S PERFUSION INDEX (PI) AND WRITE IT ON THE PARTICIPANT'S INFO SHEET,INGRESE EL ÍNDICE DE PERFUSIÓN (PI) DEL PARTICIPANTE Y ESCRÍBALO EN LA HOJA DEL PARTICIPANTE.,NA,NA,NA,12
mb_d0700,integer,ENTER PARTICIPANT'S PULSE AND WRITE IT ON THE PARTICIPANT'S INFO SHEET,INGRESE EL PULSO (Pr) DEL PARTICIPANTE Y ESCRÍBALO EN LA HOJA DEL PARTICIPANTE.,NA,NA,NA,13
mb_d0800,integer,ENTER PARTICIPANT'S OXYGEN SATURATION AND WRITE IT ON THE PARTICIPANT'S INFORMATION SHEET.,INGRESE LA SATURACIÓN ARTERIAL DE OXÍGENO DEL PARTICIPANTE (O2) Y ESCRÍBALA EN LA HOJA DEL PARTICIPANTE,NA,NA,NA,14
mb_d0900,decimal,ENTER PARTICIPANT'S HEMOGLOBIN LEVEL AND WRITE IT ON THE PARTICIPANT'S INFO SHEET,INGRESE EL NIVEL DE HEMOGLOBINA (spHb) DEL PARTICIPANTE Y ESCRÍBALO EN LA HOJA DEL PARTICIPANTE.,NA,NA,NA,15
mb_m02,text,PLEASE SCAN THE TUBE WITH BARCODE ENDING IN 02 FROM THE PARTICIPANT TUBE BAG,POR FAVOR ESCANEE EL TUBO #02 DE LA BOLSA DEL PARTICIPANTE.,NA,NA,NA,16
mb_m02_n,text_area,"IF THERE WERE ANY PROBLEMS COLLECTING  SALIVA SAMPLE 2, PLEASE EXPLAIN HERE","SI SE PRESENTÓ ALGÚN PROBLEMA AL TOMAR LA MUESTRA DE SALIVA 2, POR FAVOR EXPLIQUE LA SITUACIÓN.",NA,NA,NA,17
mb_d0010,decimal,PLEASE ENTER THE PARTICIPANT's HbA1c RESULT.,POR FAVOR INGRESE EL RESULTADO DE LA PRUEBA DE HbA1C (HEMOGLOBINA GLICOSILADA).,NA,NA,NA,18
mb_a0100,multiple_choice,Where were you born?,¿Dónde nació usted?,1,This village,Esta aldea,19
mb_a0100,multiple_choice,Where were you born?,¿Dónde nació usted?,2,Another place in Honduras,Otro lugar en Honduras,19
mb_a0100,multiple_choice,Where were you born?,¿Dónde nació usted?,3,Outside of Honduras,Fuera de Honduras,19
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,1,Atlántida,Atlántida,20
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,2,Choluteca,Choluteca,20
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,3,Colón,Colón,20
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,4,Comayagua,Comayagua,20
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,5,Copán,Copán,20
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,6,Cortes,Cortes,20
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,7,El Paraíso,El Paraíso,20
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,8,Francisco Morazán,Francisco Morazán,20
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,9,Gracias a Dios,Gracias a Dios,20
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,10,Intibucá,Intibucá,20
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,11,Islas de la Bahía,Islas de la Bahía,20
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,12,La Paz,La Paz,20
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,13,Lempira,Lempira,20
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,14,Ocotepeque,Ocotepeque,20
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,15,Olancho,Olancho,20
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,16,Santa Bárbara,Santa Bárbara,20
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,17,Valle,Valle,20
mb_a0200,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,18,Yoro,Yoro,20
mb_a0300,multiple_choice,If Copan: What municipality?,¿Qué municipio?,1,Copán Ruinas,Copán Ruinas,21
mb_a0300,multiple_choice,If Copan: What municipality?,¿Qué municipio?,2,Cabañas,Cabañas,21
mb_a0300,multiple_choice,If Copan: What municipality?,¿Qué municipio?,3,Santa Rita,Santa Rita,21
mb_a0300,multiple_choice,If Copan: What municipality?,¿Qué municipio?,4,San Jeronimo,San Jeronimo,21
mb_a0300,multiple_choice,If Copan: What municipality?,¿Qué municipio?,5,Other,Otro,21
mb_a0400,multiple_choice,Another country: specify,¿Qué país?,1,Guatemala,Guatemala,22
mb_a0400,multiple_choice,Another country: specify,¿Qué país?,2,El Salvador,El Salvador,22
mb_a0400,multiple_choice,Another country: specify,¿Qué país?,3,Nicaragua,Nicaragua,22
mb_a0400,multiple_choice,Another country: specify,¿Qué país?,4,Other,Otro,22
mb_a0500a,multiple_select,Do you consider yourself a part of any of the following ethnic groups?,Usted se considera ser cualquiera de los siguientes...,a,Lenca,Lenca,23
mb_a0500b,multiple_select,Do you consider yourself a part of any of the following ethnic groups?,Usted se considera ser cualquiera de los siguientes...,b,Miskito,Miskito,23
mb_a0500c,multiple_select,Do you consider yourself a part of any of the following ethnic groups?,Usted se considera ser cualquiera de los siguientes...,c,Ch'orti'/Maya Chorti,Ch'orti'/Maya Chorti,23
mb_a0500d,multiple_select,Do you consider yourself a part of any of the following ethnic groups?,Usted se considera ser cualquiera de los siguientes...,d,Tolupan/Jicaque/Xicaque,Tolupan/Jicaque/Xicaque,23
mb_a0500e,multiple_select,Do you consider yourself a part of any of the following ethnic groups?,Usted se considera ser cualquiera de los siguientes...,e,Pech/Paya,Pech/Paya,23
mb_a0500f,multiple_select,Do you consider yourself a part of any of the following ethnic groups?,Usted se considera ser cualquiera de los siguientes...,f,Sumo/Tawahka,Sumo/Tawahka,23
mb_a0500g,multiple_select,Do you consider yourself a part of any of the following ethnic groups?,Usted se considera ser cualquiera de los siguientes...,g,Garifuna,Garífuna,23
mb_a0500h,multiple_select,Do you consider yourself a part of any of the following ethnic groups?,Usted se considera ser cualquiera de los siguientes...,h,Other,Otro,23
mb_a0500i,multiple_select,Do you consider yourself a part of any of the following ethnic groups?,Usted se considera ser cualquiera de los siguientes...,i,None of the above,Ninguno,23
mb_a0600a,multiple_select,What was the main language spoken in your home when you were a child? DO NOT READ RESPONSES,¿Cuál era la lengua o idioma principal que se hablaba en su hogar cuando usted era pequeño/a? NO LEA LAS RESPUESTAS,a,Spanish/Castillian,Español/Castellano,24
mb_a0600b,multiple_select,What was the main language spoken in your home when you were a child? DO NOT READ RESPONSES,¿Cuál era la lengua o idioma principal que se hablaba en su hogar cuando usted era pequeño/a? NO LEA LAS RESPUESTAS,b,Ch'orti',Ch'orti',24
mb_a0600c,multiple_select,What was the main language spoken in your home when you were a child? DO NOT READ RESPONSES,¿Cuál era la lengua o idioma principal que se hablaba en su hogar cuando usted era pequeño/a? NO LEA LAS RESPUESTAS,c,Garifuna,Garífuna,24
mb_a0600d,multiple_select,What was the main language spoken in your home when you were a child? DO NOT READ RESPONSES,¿Cuál era la lengua o idioma principal que se hablaba en su hogar cuando usted era pequeño/a? NO LEA LAS RESPUESTAS,d,English,Inglés,24
mb_a0600e,multiple_select,What was the main language spoken in your home when you were a child? DO NOT READ RESPONSES,¿Cuál era la lengua o idioma principal que se hablaba en su hogar cuando usted era pequeño/a? NO LEA LAS RESPUESTAS,e,Tol,Tol,24
mb_a0600f,multiple_select,What was the main language spoken in your home when you were a child? DO NOT READ RESPONSES,¿Cuál era la lengua o idioma principal que se hablaba en su hogar cuando usted era pequeño/a? NO LEA LAS RESPUESTAS,f,Lenca,Lenca,24
mb_a0600g,multiple_select,What was the main language spoken in your home when you were a child? DO NOT READ RESPONSES,¿Cuál era la lengua o idioma principal que se hablaba en su hogar cuando usted era pequeño/a? NO LEA LAS RESPUESTAS,g,Miskito,Miskito,24
mb_a0600h,multiple_select,What was the main language spoken in your home when you were a child? DO NOT READ RESPONSES,¿Cuál era la lengua o idioma principal que se hablaba en su hogar cuando usted era pequeño/a? NO LEA LAS RESPUESTAS,h,Pech,Pech,24
mb_a0600i,multiple_select,What was the main language spoken in your home when you were a child? DO NOT READ RESPONSES,¿Cuál era la lengua o idioma principal que se hablaba en su hogar cuando usted era pequeño/a? NO LEA LAS RESPUESTAS,i,Mayangna,Mayangna,24
mb_a0600j,multiple_select,What was the main language spoken in your home when you were a child? DO NOT READ RESPONSES,¿Cuál era la lengua o idioma principal que se hablaba en su hogar cuando usted era pequeño/a? NO LEA LAS RESPUESTAS,j,Other,Otro,24
mb_a0700,multiple_choice,Are you a citizen of the EU?,¿Es usted ciudadano/a de la Union Europea?,1,Yes,Sí,25
mb_a0700,multiple_choice,Are you a citizen of the EU?,¿Es usted ciudadano/a de la Union Europea?,2,No,No,25
mb_a0800a,multiple_select,"What language or languages does/did your Mother speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su madre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",a,Spanish/Castillian,Español/Castellano,26
mb_a0800b,multiple_select,"What language or languages does/did your Mother speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su madre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",b,Ch'orti',Ch'orti',26
mb_a0800c,multiple_select,"What language or languages does/did your Mother speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su madre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",c,Garifuna,Garífuna,26
mb_a0800d,multiple_select,"What language or languages does/did your Mother speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su madre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",d,English,Inglés,26
mb_a0800e,multiple_select,"What language or languages does/did your Mother speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su madre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",e,Tol,Tol,26
mb_a0800f,multiple_select,"What language or languages does/did your Mother speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su madre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",f,Lenca,Lenca,26
mb_a0800g,multiple_select,"What language or languages does/did your Mother speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su madre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",g,Miskito,Miskito,26
mb_a0800h,multiple_select,"What language or languages does/did your Mother speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su madre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",h,Pech,Pech,26
mb_a0800i,multiple_select,"What language or languages does/did your Mother speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su madre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",i,Mayangna,Mayangna,26
mb_a0800j,multiple_select,"What language or languages does/did your Mother speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su madre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",j,Other,Otro,26
mb_a0900a,multiple_select,"What language or languages does/did your Father speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su padre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",a,Spanish/Castillian,Español/Castellano,27
mb_a0900b,multiple_select,"What language or languages does/did your Father speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su padre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",b,Ch'orti',Ch'orti',27
mb_a0900c,multiple_select,"What language or languages does/did your Father speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su padre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",c,Garifuna,Garífuna,27
mb_a0900d,multiple_select,"What language or languages does/did your Father speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su padre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",d,English,Inglés,27
mb_a0900e,multiple_select,"What language or languages does/did your Father speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su padre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",e,Tol,Tol,27
mb_a0900f,multiple_select,"What language or languages does/did your Father speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su padre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",f,Lenca,Lenca,27
mb_a0900g,multiple_select,"What language or languages does/did your Father speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su padre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",g,Miskito,Miskito,27
mb_a0900h,multiple_select,"What language or languages does/did your Father speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su padre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",h,Pech,Pech,27
mb_a0900i,multiple_select,"What language or languages does/did your Father speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su padre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",i,Mayangna,Mayangna,27
mb_a0900j,multiple_select,"What language or languages does/did your Father speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did he speak any other language?","¿Qué lengua o lenguas habla/hablaba su padre? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿El habla/hablaba alguna otra lengua o idioma?",j,Other,Otro,27
mb_a1000,multiple_choice,Where was your maternal on your mother's side born?,¿Dónde nació su abuela por parte de su mama?,1,This village,Esta aldea,28
mb_a1000,multiple_choice,Where was your maternal on your mother's side born?,¿Dónde nació su abuela por parte de su mama?,2,Another place in Honduras,Otro lugar en Honduras,28
mb_a1000,multiple_choice,Where was your maternal on your mother's side born?,¿Dónde nació su abuela por parte de su mama?,3,Outside of Honduras,Fuera de Honduras,28
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,1,Atlántida,Atlántida,29
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,2,Choluteca,Choluteca,29
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,3,Colón,Colón,29
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,4,Comayagua,Comayagua,29
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,5,Copán,Copán,29
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,6,Cortes,Cortes,29
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,7,El Paraíso,El Paraíso,29
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,8,Francisco Morazán,Francisco Morazán,29
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,9,Gracias a Dios,Gracias a Dios,29
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,10,Intibucá,Intibucá,29
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,11,Islas de la Bahía,Islas de la Bahía,29
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,12,La Paz,La Paz,29
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,13,Lempira,Lempira,29
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,14,Ocotepeque,Ocotepeque,29
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,15,Olancho,Olancho,29
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,16,Santa Bárbara,Santa Bárbara,29
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,17,Valle,Valle,29
mb_a1100,multiple_choice,What department in Honduras?,¿Qué departamento en Honduras?,18,Yoro,Yoro,29
mb_a1200,multiple_choice,If Copan: What municipality?,¿Qué municipio?,1,Copán Ruinas,Copán Ruinas,30
mb_a1200,multiple_choice,If Copan: What municipality?,¿Qué municipio?,2,Cabañas,Cabañas,30
mb_a1200,multiple_choice,If Copan: What municipality?,¿Qué municipio?,3,Santa Rita,Santa Rita,30
mb_a1200,multiple_choice,If Copan: What municipality?,¿Qué municipio?,4,San Jeronimo,San Jeronimo,30
mb_a1200,multiple_choice,If Copan: What municipality?,¿Qué municipio?,5,Other,Otro,30
mb_a1300,multiple_choice,Another country: specify,¿Qué país?,1,Guatemala,Guatemala,31
mb_a1300,multiple_choice,Another country: specify,¿Qué país?,2,El Salvador,El Salvador,31
mb_a1300,multiple_choice,Another country: specify,¿Qué país?,3,Nicaragua,Nicaragua,31
mb_a1300,multiple_choice,Another country: specify,¿Qué país?,4,Other,Otro,31
mb_a1400a,multiple_select,"What language or languages does/did your  grandmother on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",a,Spanish/Castillian,Español/Castellano,32
mb_a1400b,multiple_select,"What language or languages does/did your  grandmother on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",b,Ch'orti',Ch'orti',32
mb_a1400c,multiple_select,"What language or languages does/did your  grandmother on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",c,Garifuna,Garífuna,32
mb_a1400d,multiple_select,"What language or languages does/did your  grandmother on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",d,English,Inglés,32
mb_a1400e,multiple_select,"What language or languages does/did your  grandmother on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",e,Tol,Tol,32
mb_a1400f,multiple_select,"What language or languages does/did your  grandmother on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",f,Lenca,Lenca,32
mb_a1400g,multiple_select,"What language or languages does/did your  grandmother on your mother's side speak? DO NOT READ RESPONSES. IF PARTICIPANT CHOOSES SPANISH ONLY, ADD: Does/did she speak any other language?","¿Qué lengua o lenguas habla/hablaba su abuela por parte de su mama? NO LEA LAS RESPUESTAS. SI EL/LA ENCUESTADO/A SELECCIONA ESPAÑOL SOLAMENTE, PREGUNTE: ¿Ella habla/hablaba alguna otra lengua o idioma?",g,Miskito,Miskito,32
