variable_name,repeated_question,question_type,survey,question_english_women,question_english_men,option_code,option_english_women,option_english_men
a1700,0,relationship,"w1 baseline, w2 baseline, all","Who would you feel comfortable asking to borrow 200 lempiras from if you needed
them for the day?

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one""., Who would you feel comfortable asking to borrow 200 lempiras from if you needed
them for the day?

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one"".",SAME,missing,missing,missing
a1800,0,relationship,"w1 baseline, w2 baseline, all","Who do you think would be comfortable asking you to borrow 200 lempiras for the day?

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one""., Who do you think would be comfortable asking you to borrow 200 lempiras for the day?

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one"".",SAME,missing,missing,missing
a1900,0,relationship,"w1 baseline, w2 baseline, all","Who would you ask for advice about health related matters?

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one""., Who would you ask for advice about health related matters?

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one"".",SAME,missing,missing,missing
a2000,0,relationship,"w1 baseline, w2 baseline, all","Who comes to you for health advice? 

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one""., Who comes to you for health advice? 

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one"".",SAME,missing,missing,missing
a2100,0,relationship,"w1 baseline, w2 baseline, all","Besides your partner, parents or siblings, who do you consider to be your closest friends? 

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one""., Besides your partner, parents or siblings, who do you consider to be your closest friends? 

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one"".",SAME,missing,missing,missing
a2200,0,relationship,"w1 baseline, w2 baseline, all","What are the names of this town’s leaders?
(People who live in this village whose opinions are respected or you feel have some authority over decisions in the community).

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else.""  If respondent has no one to name, please mark "" No one""., What are the names of this town’s leaders?
(People who live in this village whose opinions are respected or you feel have some authority over decisions in the community).

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else.""  If respondent has no one to name, please mark "" No one"".",SAME,missing,missing,missing
a8888,0,intro,"w1 baseline, w2 baseline, all",We have asked questions about the people who are positive connections in your life. Our study aims to group people that get along well. Now we are going to ask you one question about the people in your life with whom you usually do not get along well. It is important that you understand that we will keep all of your responses secret and that they will only be used for the purpose of mathematical analysis. Your information will never be shared with anyone.,SAME,missing,missing,missing
a2300,0,relationship,"w1 baseline, w2 baseline, all","Who are the people in this town with whom you do not get along well? 

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one""., Who are the people in this town with whom you do not get along well? 

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one"".",SAME,missing,missing,missing
a2400,0,multiple_choice,"w1 baseline, w2 baseline, all","Do you have a patrón/patrona?

IF A WOMAN ASKS IF SHE SHOULD GIVE HER HUSBAND/PARTNER'S PATRON, THEN THIS IS AN ACCEPTABLE RESPONSE

IF A CHILD ASKS IF THEY SHOULD GIVE THEIR PARENTS' PATRON, THEN THIS IS AN ACCEPTABLE RESPONSE, Do you have a patrón/patrona?

IF A WOMAN ASKS IF SHE SHOULD GIVE HER HUSBAND/PARTNER'S PATRON, THEN THIS IS AN ACCEPTABLE RESPONSE

IF A CHILD ASKS IF THEY SHOULD GIVE THEIR PARENTS' PATRON, THEN THIS IS AN ACCEPTABLE RESPONSE",SAME,"1, 2","Yes, No",SAME
a2500,0,relationship,"w1 baseline, w2 baseline, all",What is his/her name?,SAME,missing,missing,missing
a2600,0,integer,"w1 baseline, w2 baseline, all",How many friends or relatives that you see more than once a month live in other villages?,SAME,missing,missing,missing
a2700,0,geo,"w1 baseline, w2 baseline, all",What is the name of the village where the majority of these friends/relations live?,SAME,missing,missing,missing
b8888,0,intro,"w1 baseline, w2 baseline, all",Now we'd like to ask you some general questions about yourself and your home.,SAME,missing,missing,missing
b0100,0,multiple_choice,"w1 baseline, w2 baseline, all",What grade did you complete in school?,SAME,"1, 10, 2, 3, 4, 5, 6, 7, 8, 9","Have not completed any type of school, More than secondary, 1st grade, 2nd grade, 3rd grade, 4th grade, 5th grade, 6th grade, Some secondary, Secondary",SAME
b0200,0,multiple_choice,"w1 baseline, w2 baseline, w3 baseline",Do you belong to an indigenous community?,SAME,"1, 2, 3, 4","No, Yes, Maya Chorti, Yes, Lenca, Other",SAME
b0300,0,multiple_choice,"w1 baseline, w2 baseline, all",Is there a kitchen in the home (the place where you live)?,SAME,"1, 2","Yes, No",SAME
b0400,0,multiple_choice,"w1 baseline, w2 baseline, all",Is the majority of the food you eat primarily prepared in this kitchen?,SAME,"1, 2","Yes, No",SAME
b0500,0,relationship,"w1 baseline, w2 baseline, all","In this household, who primarily provides for most of your living expenses (gastos) such as food and clothing?",SAME,missing,missing,missing
b0600,0,multiple_choice,"w1 baseline, w2 baseline, w3 baseline",What is your religion?,SAME,"1, 2, 3, 4, 5","Protestant, Catholic, Mormon, No Religion, Other",SAME
b0700,0,multiple_choice,"w1 baseline, w2 baseline, all",Do you plan to leave this village in the next 12 months (staying somewhere else for 3 months or longer)?,SAME,"1, 2, 3, 4","No, no plans to leave, Yes, to another village inside the department of Copan, Yes, to another village outside of the department of Copan, Yes, to another country",SAME
b0800,0,multiple_choice,"w1 baseline, w2 baseline, all",How long have you lived in this village?,SAME,"1, 2, 3","Since birth, Less than a year, More than a year",SAME
b0900,0,integer,"w1 baseline, w2 baseline, w3 baseline",How many years have you lived in this village?,SAME,missing,missing,missing
b1000a,0,multiple_select,"w1 baseline, w2 baseline, all",Are you any of the following?,SAME,a,Health promoter,SAME
b1000b,0,multiple_select,"w1 baseline, w2 baseline, all",Are you any of the following?,SAME,b,Commuity health volunteer,SAME
b1000c,0,multiple_select,"w1 baseline, w2 baseline, all",Are you any of the following?,SAME,c,"Member of community boards ( village council, water board, parents association)",SAME
b1000d,0,multiple_select,"w1 baseline, w2 baseline, all",Are you any of the following?,SAME,d,Patron/Patrona (other people work for you),SAME
b1000e,0,multiple_select,"w1 baseline, w2 baseline, all",Are you any of the following?,SAME,e,Midwife,SAME
b1000f,0,multiple_select,"w1 baseline, w2 baseline, all",Are you any of the following?,SAME,f,Priest/Pastor or religious leader,SAME
b1000g,0,multiple_select,"w1 baseline, w2 baseline, all",Are you any of the following?,SAME,g,President/leader of indigenous council,SAME
b1000h,0,multiple_select,"w1 baseline, w2 baseline, all",Are you any of the following?,SAME,h,Political organizer/leader,SAME
b1000i,0,multiple_select,"w1 baseline, w2 baseline, all",Are you any of the following?,SAME,i,None of the above,SAME
c8888,0,intro,"w1 baseline, all","Now, we will ask you some questions about your health in general.",SAME,missing,missing,missing
c0100,0,multiple_choice,"w1 baseline, all","Generally, you would say that your health is:",SAME,"1, 2, 3, 4, 5","excellent, very good, good, fair, poor",SAME
c0200,0,multiple_choice,"w1 baseline, all","Now, thinking of your mental health, including stress, depression and emotional problems, how would you rate your overall mental health?",SAME,"1, 2, 3, 4, 5","excellent, very good, good, fair, poor",SAME
c0300,0,multiple_choice,"w1 baseline, all","Over the last 2 weeks, how often have you been bothered by any of the following problems? Little interest or pleasure in doing things",SAME,"1, 2, 3, 4","Not at all, Several days, More than half the days, Nearly every day",SAME
c0400,0,multiple_choice,"w1 baseline, all","Feeling down, depressed, or hopeless",SAME,"1, 2, 3, 4","Not at all, Several days, More than half the days, Nearly every day",SAME
c0500,0,multiple_choice,"w1 baseline, all",Have you had diarrhea in the last 4 weeks?,SAME,"1, 2","Yes, No",SAME
c0600,0,multiple_choice,"w1 baseline, all",Was there any blood in the stools?,SAME,"1, 2","Yes, No",SAME
c0700a,0,multiple_select,"w1 baseline, all",Have you had any of the following liquids to drink at any time since you started having the diarrhea?,SAME,a,A fluid made from a special packet called ORS or LITROSOL,SAME
c0700b,0,multiple_select,"w1 baseline, all",Have you had any of the following liquids to drink at any time since you started having the diarrhea?,SAME,b,A government-recommended homemade fluid,SAME
c0700c,0,multiple_select,"w1 baseline, all",Have you had any of the following liquids to drink at any time since you started having the diarrhea?,SAME,c,"Other bottled or commercial liquids (Pedialite, Oralite, Gatorade, etc.)",SAME
c0700d,0,multiple_select,"w1 baseline, all",Have you had any of the following liquids to drink at any time since you started having the diarrhea?,SAME,d,None,SAME
c0800,0,integer,"w1 baseline, all",For how many days did you take these liquids?,SAME,missing,missing,missing
c0900a,0,multiple_select,"w1 baseline, all","Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN, Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN",SAME,a,No,SAME
c0900b,0,multiple_select,"w1 baseline, all","Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN, Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN",SAME,b,Antibiotic (pill or syrup),SAME
c0900c,0,multiple_select,"w1 baseline, all","Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN, Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN",SAME,c,Zinc (pill or syrup),SAME
c0900d,0,multiple_select,"w1 baseline, all","Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN, Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN",SAME,d,Anti-diarrhea medication,SAME
c0900e,0,multiple_select,"w1 baseline, all","Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN, Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN",SAME,e,Home remedy/herbal medicine,SAME
c0900f,0,multiple_select,"w1 baseline, all","Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN, Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN",SAME,f,Laxative,SAME
c0900g,0,multiple_select,"w1 baseline, all","Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN, Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN",SAME,g,De-worming medicine,SAME
c0900h,0,multiple_select,"w1 baseline, all","Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN, Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN",SAME,h,Chupon,SAME
c0900i,0,multiple_select,"w1 baseline, all","Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN, Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN",SAME,i,Massage,SAME
c0900j,0,multiple_select,"w1 baseline, all","Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN, Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN",SAME,j,Stop eating foods,SAME
c0900k,0,multiple_select,"w1 baseline, all","Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN, Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN",SAME,k,Stop taking liquids,SAME
c0900l,0,multiple_select,"w1 baseline, all","Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN, Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN",SAME,l,Eating extra foods,SAME
c0900m,0,multiple_select,"w1 baseline, all","Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN, Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN",SAME,m,Taking extra liquids,SAME
c0900n,0,multiple_select,"w1 baseline, all","Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN, Did you take or do anything else to treat the diarrhea?...DO NOT READ RESPONSES 
 
 RECORD ALL TREATMENTS GIVEN",SAME,n,Other,SAME
c1000,0,multiple_choice,"w1 baseline, all",Have you been coughing for at least two weeks?,SAME,"1, 2","Yes, No",SAME
c1100,0,multiple_choice,"w1 baseline, w2 baseline, all",How often did you have a drink containing alcohol in the past year?,SAME,"1, 2, 3, 4, 5","Never, Monthly or less, Two to four times a month, Two to three times a week, Four or more times a week",SAME
c1200,0,multiple_choice,"w1 baseline, w2 baseline, all",How many drinks did you have on a typical day when you were drinking in the past year?,SAME,"1, 2, 3, 4, 5","1 or 2, 3 or 4, 5 or 6, 7 to 9, 10 or more",SAME
c1300,0,multiple_choice,"w1 baseline, w2 baseline, all",How often did you have six or more drinks in one occasion in the past year?,SAME,"1, 2, 3, 4, 5","Never, Less than monthly, Monthly, Weekly, Daily or almost daily",SAME
c1400,0,multiple_choice,"w1 baseline, w2 baseline, all",Do you currently smoke cigarrettes?,SAME,"1, 2","Yes, No",SAME
c1500,0,integer,"w1 baseline, w2 baseline, all","In the last 24 hours, how many cigarettes did you smoke?",SAME,missing,missing,missing
c8889,0,intro,"w1 baseline, all",Now I'd like to ask you a few question about the nearest health center to your home....,SAME,missing,missing,missing
c1600,0,multiple_choice,"w1 baseline, all","If you had to go to this health center for any reason, would you say this would be easy or difficult to do?",SAME,"1, 2","Easy, Difficult",SAME
c1700,0,multiple_choice,"w1 baseline, all",What is the primary reason for which you say this would be difficult for you? DO NOT READ RESPONSES,SAME,"1, 2, 3, 4, 5, 6, 7, 8","Too far, Do not have access to a car, transportation too expensive, Cannot leave family/no child care, Cannot take time off work, Health interferes with ability to get there, Not safe to travel there, Other",SAME
c1800,0,multiple_choice,"w1 baseline, w2 baseline, all","In your opinion, how good is the medical attention at this health facility overall? ",SAME,"1, 2, 3, 4, 5","Excellent, Very good, Good, Fair, Poor",SAME
c1900,0,multiple_choice,"w1 baseline, w2 baseline, w3 baseline",Do you think the health facility personnel treat members of the community with respect?,SAME,"1, 2","Yes, No",SAME
c2000,0,multiple_choice,"w1 baseline, w2 baseline, w3 baseline",In your opinion do the health facility personnel have the appropriate knowledge to attend to patients?,SAME,"1, 2","Yes, No",SAME
d8888,0,intro,"w1 baseline, all",Now we will you ask you a few questions about your financial resources,SAME,missing,missing,missing
d0100,0,multiple_choice,"w1 baseline, all","In the past 3 months, for lack of money or other resources, did you ever worry that your household would run out of food?",SAME,"1, 2","Yes, No",SAME
d0200,0,multiple_choice,"w1 baseline, all","In the past 3 months, for lack of money or other resources, did your household ever run out of food?",SAME,"1, 2","Yes, No",SAME
d0300,0,multiple_choice,"w1 baseline, w2 baseline, all","In the past 3 months,  did you or any adult in your household eat only one meal in a day or go without eating for a whole day because of lack of money or other resources to get food?",SAME,"1, 2","Yes, No",SAME
d0400,0,multiple_choice,"w1 baseline, w2 baseline, all","In the past 3 months,  did any child in your household eat only one meal in a day or go without eating for a whole day because of lack of money or other resources to get food?",SAME,"1, 2","Yes, No",SAME
d0500,0,multiple_choice,w1 baseline,"In the past 3 months, did any adult in your household eat only one meal in a day or go without eating for a whole day because of lack of money or other resources to get food?",SAME,"1, 2","Yes, No",SAME
d0600,0,multiple_choice,w1 baseline,"In the past 3 months,  did you or any child in your household eat only one meal in a day or go without eating for a whole day because of lack of money or other resources to get food?",SAME,"1, 2","Yes, No",SAME
d0700,0,multiple_choice,"w1 baseline, all","With the total family income, would you say that...",SAME,"1, 2, 3, 4","There is enough to live on and save, It is sufficient, without major difficulties, It is not sufficient and there are difficulties, It is not sufficient and there are major difficulties",SAME
e8888,0,intro,"w1 baseline, all",Now we will ask you some questions about reproductive health.,SAME,missing,missing,missing
e0200,0,multiple_choice,"w1 baseline, all",Are you married or in a free union?,SAME,"1, 2","Yes, No",SAME
e0300,0,multiple_choice,"w1 baseline, all",Are you currently living with your current spouse/partner?,Are you currently living with your current spouse/partner?,"1, 2","Yes, No","Yes, No"
e0400,0,integer,"w1 baseline, all",For how many years have you been living with your CURRENT spouse/partner?,SAME,missing,missing,missing
e0500,0,integer,"w1 baseline, all",How many partners have you lived with in your life?,How many partners have you lived with in your life?,missing,missing,missing
e0600,0,integer,"w1 baseline, all",How old were you when you started living with your FIRST spouse/partner?,SAME,missing,missing,missing
e0700,0,multiple_choice,"w1 baseline, all",Are you currently pregnant?,Do you currently have a partner that is expecting a child that is yours?,"1, 2","Yes, No","Yes, No"
e0800,0,integer,"w1 baseline, all","How many months pregnant are you? IF THEY GIVE RESPONSE IN WEEKS, ROUND UP TO MONTHS (3 weeks --> 1 month)","How many months pregnant is she? IF THEY GIVE RESPONSE IN WEEKS, ROUND UP TO MONTHS (3 weeks --> 1 month)",missing,missing,missing
e0900,0,multiple_choice,"w1 baseline, all",Have you or a partner ever used anything or tried anything to delay or avoid a pregnancy?,SAME,"1, 2","Yes, No",SAME
e1000a,0,multiple_select,"w1 baseline, all",What have you done or what method have you used?,SAME,a,Pill,SAME
e1000b,0,multiple_select,"w1 baseline, all",What have you done or what method have you used?,SAME,b,Condom,SAME
e1000c,0,multiple_select,"w1 baseline, all",What have you done or what method have you used?,SAME,c,Female Condom,SAME
e1000d,0,multiple_select,"w1 baseline, all",What have you done or what method have you used?,SAME,d,IUD,SAME
e1000e,0,multiple_select,"w1 baseline, all",What have you done or what method have you used?,SAME,e,Injectables/Implants,SAME
e1000f,0,multiple_select,"w1 baseline, all",What have you done or what method have you used?,SAME,f,Natural rhythm (avoid intercourse during certain times in the woman's cycle),SAME
e1000g,0,multiple_select,"w1 baseline, all",What have you done or what method have you used?,SAME,g,Surgical sterilization,SAME
e1000h,0,multiple_select,"w1 baseline, all",What have you done or what method have you used?,SAME,h,Other,SAME
e1100,0,multiple_choice,"w1 baseline, all",Are you or a partner currently using or doing anything to delay or avoid a pregnancy?,SAME,"1, 2","Yes, No",SAME
e1200a,0,multiple_select,"w1 baseline, all",What are you doing or using?,SAME,a,Pill,SAME
e1200b,0,multiple_select,"w1 baseline, all",What are you doing or using?,SAME,b,Condom,SAME
e1200c,0,multiple_select,"w1 baseline, all",What are you doing or using?,SAME,c,Female Condom,SAME
e1200d,0,multiple_select,"w1 baseline, all",What are you doing or using?,SAME,d,IUD,SAME
e1200e,0,multiple_select,"w1 baseline, all",What are you doing or using?,SAME,e,Injectables/Implants,SAME
e1200f,0,multiple_select,"w1 baseline, all",What are you doing or using?,SAME,f,Natural rhythm (avoid intercourse during certain times in the woman's cycle),SAME
e1200g,0,multiple_select,"w1 baseline, all",What are you doing or using?,SAME,g,No partner,SAME
e1200h,0,multiple_select,"w1 baseline, all",What are you doing or using?,SAME,h,Surgical sterilization,SAME
e1200i,0,multiple_select,"w1 baseline, all",What are you doing or using?,SAME,i,Other,SAME
