variable_name,repeated_question,question_type,survey,question_english_women,question_english_men,option_code,option_english_women,option_english_men,question_spanish_women,question_spanish_men,option_spanish_women,option_spanish_men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a0900,0,integer,all,How many of these siblings are over the age of 12 and currently living or working in this village?,SAME,NA,NA,NA,¿Cuantos de estos hermanos/hermanas son mayores de 12 años y viven o trabajan en esta aldea actualmente?,SAME,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1000,0,relationship,all,What are the names of your siblings over the age of 12 that live or work here?,SAME,NA,NA,NA,¿Cómo se llaman sus hermanos/hermanas que son mayores de 12 años y que viven o trabajan aqui?,SAME,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1100,0,multiple_choice,all,"Do you have any CHILDREN who don’t live with you, but do live in this village over the age of 12?",SAME,1,Yes,SAME,¿Tiene HIJOS que no viven con usted pero que viven en ESTA ALDEA y que tienen más de 12 años de edad?,SAME,Sí,SAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1100,0,multiple_choice,all,"Do you have any CHILDREN who don’t live with you, but do live in this village over the age of 12?",SAME,2,No,SAME,¿Tiene HIJOS que no viven con usted pero que viven en ESTA ALDEA y que tienen más de 12 años de edad?,SAME,No,SAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1200,0,relationship,all,What are their names?,SAME,NA,NA,NA,¿Cómo se llaman?,SAME,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1300,0,multiple_choice,all,Are you married or living in a civil union?,SAME,1,Yes,SAME,¿Es usted casado/a o vive en unión libre?,SAME,Sí,SAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1300,0,multiple_choice,all,Are you married or living in a civil union?,SAME,2,No,SAME,¿Es usted casado/a o vive en unión libre?,SAME,No,SAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1400,0,relationship,all,What is the name of your partner?,SAME,NA,NA,NA,¿Cómo se llama su pareja?,SAME,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a8887,0,intro,all,"In the next section, we will ask you some questions about who are the people that you do different things with, and to name those people specifically. You can answer the questions with names of people who are OVER THE AGE OF 12 and WHO CURRENTLY LIVE OR WORK IN THIS VILLAGE ONLY. These people may include any friends, family, people you work with, people that work for you, neighbors, etc. When you answer these questions, you may answer with one person, more than one person, or say there is no one. You are free to include up to 5 people.

INTERVIEWER: The maximum input is 5 people. If the respondent gives a name, follow-up with: ""Is there anyone else?"". However, the respondent should not be pushed to provide 5 names, but know that this is the maximum number possible. If respondent names someone who is not in the respondent list, please ask ""Does this person currently live or work in this village?"" If the person does not live or work in the village, do not proceed to add them.",SAME,NA,NA,NA,"En la siguiente sección, le voy a preguntar acerca de las personas con quienes usted comparte diferentes actividades. Necesitamos que nos de los nombres de estas personas. SOLAMENTE PUEDE INCLUIR PERSONAS MAYORES DE 12 AÑOS y QUE VIVEN o TRABAJAN EN ESTA ALDEA . Estas personas pueden ser cualquiera de sus amigos, familiares, personas con quienes trabaja o que trabajan para usted, o sus vecinos, etcétera. En sus respuestas, puede dar solamente un nombre o varios nombres, o puede decir """"no hay nadie"""" si no tiene a nadie a quien nombrar. Siéntase libre de nombrar un total de 5 personas.

ENTREVISTADOR: EL NUMERO MAXIMO ES DE 5 PERSONAS. CUANDO EL INFORMANTE DE UN NOMBRE, PREGUNTE SI HAY ALGUIEN MAS. SIN EMBARGO, EL INFORMANTE NO DEBE SER PRESIONADO A DAR 5 NOMBRES, PERO SEPA QUE ESTE ES EL NUMERO MAXIMO POSIBLE. LA PERSONA QUE NOMBRE TIENE QUE VIVIR o TRABAJAR EN LA ALDEA. Si la persona que nombra no esta en la lista de informantes,  PREGUNTE: Esta persona vive o trabaja en esta aldea actualmente? Si responde que no, no proceda a agregarlo al programa.",SAME,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1500,0,relationship,all,"Who do you trust to talk to about something personal or private? 

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one"".",SAME,NA,NA,NA,"¿En quién puede confiar para hablar sobre algo personal o privado? 

(puede incluir amigos, familiares, personas con quienes trabaja o que trabajan para usted, o vecinos, etcétera que viven o trabajan en esta aldea) 

ENTREVISTADOR: Si el informante da el nombre de una persona, pregunte “¿Hay alguien más?"".

Si el informante parece estar confundido, puede agregar: ""Acuérdese que puede responder a la pregunta con el nombre de cualquier persona que vive o trabaja en esta aldea, incluyendo amigos, familiares, personas con quienes trabaja o que trabajan para usted, o vecinos… o está BIEN si no hay nadie más.""

SI EL INFORMANTE NO TIENE A NADIE A QUIEN NOMBRAR, MARQUE ""No hay nadie""",SAME,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1600,0,relationship,all,"With whom do you spend free time?

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one"".",SAME,NA,NA,NA,"¿Con quién pasa usted su tiempo libre?

(puede incluir amigos, familiares, personas con quienes trabaja o que trabajan para usted, o vecinos, etcétera que viven o trabajan en esta aldea) 

ENTREVISTADOR: Si el informante da el nombre de una persona, pregunte “¿Hay alguien más?"".

Si el informante parece estar confundido, puede agregar: ""Acuérdese que puede responder a la pregunta con el nombre de cualquier persona que vive o trabaja en esta aldea, incluyendo amigos, familiares, personas con quienes trabaja o que trabajan para usted, o vecinos… o está BIEN si no hay nadie más.""

SI EL INFORMANTE NO TIENE A NADIE A QUIEN NOMBRAR, MARQUE ""No hay nadie""",SAME,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1700,0,relationship,all,"Who would you feel comfortable asking to borrow 200 lempiras from if you needed
them for the day?

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one"".",SAME,NA,NA,NA,"¿Con quien tiene la confianza usted para pedirle prestados 200 Lempiras si los necesitara para el día?

(puede incluir amigos, familiares, personas con quienes trabaja o que trabajan para usted, o vecinos, etcétera que viven o trabajan en esta aldea) 

ENTREVISTADOR: Si el informante da el nombre de una persona, pregunte “¿Hay alguien más?"".

Si el informante parece estar confundido, puede agregar: ""Acuérdese que puede responder a la pregunta con el nombre de cualquier persona que vive o trabaja en esta aldea, incluyendo amigos, familiares, personas con quienes trabaja o que trabajan para usted, o vecinos… o está BIEN si no hay nadie más.""

SI EL INFORMANTE NO TIENE A NADIE A QUIEN NOMBRAR, MARQUE ""No hay nadie""",SAME,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1800,0,relationship,all,"Who do you think would be comfortable asking you to borrow 200 lempiras for the day?

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one"".",SAME,NA,NA,NA,"¿Quien cree que tendría la confiaza de pedirle prestado a usted 200 Lempiras para el día?

(puede incluir amigos, familiares, personas con quienes trabaja o que trabajan para usted, o vecinos, etcétera que viven o trabajan en esta aldea) 

ENTREVISTADOR: Si el informante da el nombre de una persona, pregunte “¿Hay alguien más?"".

Si el informante parece estar confundido, puede agregar: ""Acuérdese que puede responder a la pregunta con el nombre de cualquier persona que vive o trabaja en esta aldea, incluyendo amigos, familiares, personas con quienes trabaja o que trabajan para usted, o vecinos… o está BIEN si no hay nadie más.""

SI EL INFORMANTE NO TIENE A NADIE A QUIEN NOMBRAR, MARQUE ""No hay nadie""",SAME,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1900,0,relationship,all,"Who would you ask for advice about health related matters?

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one"".",SAME,NA,NA,NA,"¿A quién le pediría consejos sobre asuntos de la salud?

(puede incluir amigos, familiares, personas con quienes trabaja o que trabajan para usted, o vecinos, etcétera que viven o trabajan en esta aldea) 

ENTREVISTADOR: Si el informante da el nombre de una persona, pregunte “¿Hay alguien más?"".

Si el informante parece estar confundido, puede agregar: ""Acuérdese que puede responder a la pregunta con el nombre de cualquier persona que vive o trabaja en esta aldea, incluyendo amigos, familiares, personas con quienes trabaja o que trabajan para usted, o vecinos… o está BIEN si no hay nadie más.""

SI EL INFORMANTE NO TIENE A NADIE A QUIEN NOMBRAR, MARQUE ""No hay nadie""",SAME,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2000,0,relationship,all,"Who comes to you for health advice? 

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one"".",SAME,NA,NA,NA,"¿Quién le viene a pedir a usted consejos de salud?

(puede incluir amigos, familiares, personas con quienes trabaja o que trabajan para usted, o vecinos, etcétera que viven o trabajan en esta aldea) 

ENTREVISTADOR: Si el informante da el nombre de una persona, pregunte “¿Hay alguien más?"".

Si el informante parece estar confundido, puede agregar: ""Acuérdese que puede responder a la pregunta con el nombre de cualquier persona que vive o trabaja en esta aldea, incluyendo amigos, familiares, personas con quienes trabaja o que trabajan para usted, o vecinos… o está BIEN si no hay nadie más.""

SI EL INFORMANTE NO TIENE A NADIE A QUIEN NOMBRAR, MARQUE ""No hay nadie""",SAME,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2100,0,relationship,all,"Besides your partner, parents or siblings, who do you consider to be your closest friends? 

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one"".",SAME,NA,NA,NA,"A parte de su pareja, padres, o hermanos/hermanas, ¿a quiénes considera usted como sus amigos más cercanos? 

(puede incluir amigos, familiares, personas con quienes trabaja o que trabajan para usted, o vecinos, etcétera que viven o trabajan en esta aldea) 

ENTREVISTADOR: Si el informante da el nombre de una persona, pregunte “¿Hay alguien más?"".

Si el informante parece estar confundido, puede agregar: ""Acuérdese que puede responder a la pregunta con el nombre de cualquier persona que vive o trabaja en esta aldea, incluyendo amigos, familiares, personas con quienes trabaja o que trabajan para usted, o vecinos… o está BIEN si no hay nadie más.""

SI EL INFORMANTE NO TIENE A NADIE A QUIEN NOMBRAR, MARQUE ""No hay nadie""",SAME,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2200,0,relationship,all,"What are the names of this town’s leaders?
(People who live in this village whose opinions are respected or you feel have some authority over decisions in the community).

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else.""  If respondent has no one to name, please mark "" No one"".",SAME,NA,NA,NA,"¿Cómo se llaman los líderes de esta aldea/ciudad? (Personas que viven o trabajan en esta aldea a quienes se le respetan sus opiniones o usted siente tienen autoridad sobre decisiones hechas en la comunidad).

(puede incluir amigos, familiares, personas con quienes trabaja o que trabajan para usted, o vecinos, etcétera que viven o trabajan en esta aldea) 

ENTREVISTADOR: Si el informante da el nombre de una persona, pregunte “¿Hay alguien más?"".

Si el informante parece estar confundido, puede agregar: ""Acuérdese que puede responder a la pregunta con el nombre de cualquier persona que vive o trabaja en esta aldea, incluyendo amigos, familiares, personas con quienes trabaja o que trabajan para usted, o vecinos… o está BIEN si no hay nadie más.""

SI EL INFORMANTE NO TIENE A NADIE A QUIEN NOMBRAR, MARQUE ""No hay nadie""",SAME,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
